wid,ecoregion,start_year,end_year,tp_mean,tp_count,tp_tsi,eco_tp_min,eco_tp_max,chl_mean,chl_count,chl_tsc,eco_chl_min,eco_chl_max,transp_mean,transp_count,transp_tsi,eco_transp_min,eco_transp_max,overall_tsi
18-0181-00,NLF,2004,2013,32,2,54.13,42,52,3.2,1,42.01,44,53,0.69,1,65.35,38,47,53.83
18-0162-00,NLF,2004,2013,41,1,57.7,42,52,,,,44,53,1.5,1,54.16,38,47,55.93
18-0165-00,NLF,2004,2013,26.42,19,51.36,42,52,14.11,19,56.57,44,53,1.54,89,53.78,38,47,53.9
18-0166-00,NLF,2004,2013,,,,42,52,,,,44,53,1.08,29,58.92,38,47,58.92
18-0167-01,NLF,2004,2013,13.2,5,41.36,42,52,5.6,5,47.5,44,53,1.58,171,53.37,38,47,47.41
18-0183-00,NLF,2004,2013,15.33,12,43.52,42,52,8.61,12,51.72,44,53,1.84,96,51.18,38,47,48.81
18-0184-00,NLF,2004,2013,12.26,23,40.29,42,52,3.74,23,43.54,44,53,5.2,57,36.26,38,47,40.03
18-0185-00,NLF,2004,2013,28.65,26,52.53,42,52,5.2,26,46.78,44,53,1.76,52,51.88,38,47,50.4
18-0186-00,NLF,2004,2013,23.75,4,49.83,42,52,34.63,4,65.37,44,53,1.23,4,57.08,38,47,57.43
18-0167-02,NLF,2004,2013,24.78,9,50.44,42,52,8.44,9,51.53,44,53,1.25,9,56.73,38,47,52.9
18-0195-00,NLF,2004,2013,10,4,37.35,42,52,2.01,4,37.42,44,53,3.13,4,43.58,38,47,39.45
18-0199-00,NLF,2004,2013,11,1,38.73,42,52,,,,44,53,3.35,1,42.58,38,47,40.65
18-0200-00,NLF,2004,2013,14,1,42.21,42,52,,,,44,53,2.13,1,49.1,38,47,45.66
18-0203-00,NLF,2004,2013,43.5,31,58.55,42,52,6.1,31,48.34,44,53,1.51,129,54.05,38,47,53.65
18-0169-00,NLF,2004,2013,15.88,16,44.02,42,52,5.19,16,46.75,44,53,2.42,172,47.26,38,47,46.01
18-0175-00,NLF,2004,2013,39,1,56.98,42,52,,,,44,53,0.84,1,62.51,38,47,59.74
18-0176-00,NLF,2004,2013,100,1,70.56,42,52,,,,44,53,,,,38,47,70.56
18-0178-00,NLF,2004,2013,55,1,61.94,42,52,,,,44,53,0.61,1,67.12,38,47,64.53
18-0180-00,NLF,2004,2013,59.4,5,63.05,42,52,32.5,4,64.75,44,53,0.78,5,63.51,38,47,63.77
18-0204-00,NLF,2004,2013,,,,42,52,,,,44,53,2.29,17,48.06,38,47,48.06
29-0177-00,NLF,2004,2013,25.3,10,50.74,42,52,8.9,10,52.05,44,53,1.9,10,50.75,38,47,51.18
29-0247-00,NCHF,2004,2013,14.82,11,43.02,49,61,5.09,11,46.57,46,61,3.77,68,40.88,43,54,43.49
29-0248-00,NCHF,2004,2013,13.82,11,42.02,49,61,5.09,11,46.57,46,61,4.07,11,39.76,43,54,42.78
29-0249-00,NCHF,2004,2013,15.59,32,43.76,49,61,4.5,32,45.35,46,61,4.27,29,39.1,43,54,42.74
29-0250-00,NLF,2004,2013,49.88,43,60.53,42,52,21.72,43,60.8,44,53,1.4,208,55.18,38,47,58.84
29-0254-00,NLF,2004,2013,21.97,15,48.7,42,52,8.77,15,51.91,44,53,2.48,51,46.92,38,47,49.18
29-0256-00,NLF,2004,2013,18.67,36,46.35,42,52,7.31,36,50.11,44,53,3.32,83,42.72,38,47,46.39
29-0286-00,NLF,2004,2013,33,4,54.57,42,52,15.5,4,57.49,44,53,,,,38,47,56.03
29-0289-00,NLF,2004,2013,,,,42,52,,,,44,53,,,,38,47,0
29-0292-00,NLF,2004,2013,16,4,44.13,42,52,2.04,4,37.61,44,53,7.08,39,31.8,38,47,37.85
29-0303-00,NLF,2004,2013,,,,42,52,2.23,1,38.47,44,53,1.3,1,56.22,38,47,47.34
29-0309-00,NLF,2004,2013,11.88,4,39.83,42,52,5.07,4,46.52,44,53,4,4,40.01,38,47,42.12
29-0313-00,NLF,2004,2013,11.2,10,38.99,42,52,3.9,10,43.95,44,53,5.37,74,35.77,38,47,39.57
29-0504-00,NCHF,2004,2013,14.7,10,42.91,49,61,3.6,10,43.17,46,61,3.26,10,42.97,43,54,43.02
30-0009-00,NCHF,2004,2013,282.06,33,85.51,49,61,137.3,24,78.89,46,61,0.18,33,85,43,54,83.13
30-0022-00,NCHF,2004,2013,42.96,12,58.37,49,61,20.74,12,60.34,46,61,1.47,81,54.49,43,54,57.73
30-0035-00,NCHF,2004,2013,,,,49,61,,,,46,61,1.8,140,51.56,43,54,51.56
30-0036-00,NCHF,2004,2013,,,,49,61,,,,46,61,1.98,138,50.15,43,54,50.15
34-0294-00,WCBP,2004,2013,,,,64,76,,,,64,74,0.4,1,73.2,60,70,73.2
34-0321-00,NCHF,2004,2013,95.44,9,69.88,49,61,57.31,9,70.32,46,61,0.56,8,68.29,43,54,69.5
34-0327-00,NCHF,2004,2013,554.67,6,95.26,49,61,381.33,6,88.91,46,61,0.15,6,87.34,43,54,90.5
34-0336-00,NCHF,2004,2013,230,8,82.57,49,61,110.15,8,76.72,46,61,1.3,12,56.22,43,54,71.84
34-0339-00,NCHF,2004,2013,170,1,78.21,49,61,,,,46,61,,,,43,54,78.21
34-0344-00,NCHF,2004,2013,24,1,49.98,49,61,,,,46,61,2.9,1,44.66,43,54,47.32
34-0345-00,NCHF,2004,2013,29,1,52.71,49,61,,,,46,61,,,,43,54,52.71
34-0347-00,NCHF,2004,2013,44053,2,158.35,49,61,93500,1,142.88,46,61,0.27,5,78.66,43,54,126.63
34-0348-00,NCHF,2004,2013,122,1,73.42,49,61,,,,46,61,0.3,1,77.35,43,54,75.38
34-0352-00,NCHF,2004,2013,19,1,46.61,49,61,,,,46,61,,,,43,54,46.61
34-0359-00,NCHF,2004,2013,154.22,9,76.8,49,61,80.06,8,73.59,46,61,1.18,13,57.56,43,54,69.32
37-0046-02,WCBP,2004,2013,163.75,8,77.67,64,76,46.3,8,68.22,64,74,0.54,8,68.95,60,70,71.61
37-0056-00,WCBP,2004,2013,92,1,69.35,64,76,,,,64,74,,,,60,70,69.35
37-0100-00,WCBP,2004,2013,40,1,57.34,64,76,43.6,1,67.63,64,74,0.5,1,69.99,60,70,64.99
36-0024-00,NLF,2004,2013,18,1,45.83,42,52,,,,44,53,1.75,1,51.94,38,47,48.88
37-0026-01,WCBP,2004,2013,18,1,45.83,64,76,36.8,1,65.97,64,74,0.4,1,73.2,60,70,61.67
37-0046-01,WCBP,2004,2013,163,8,77.6,64,76,52.38,8,69.43,64,74,0.63,8,66.77,60,70,71.27
37-0103-00,WCBP,2004,2013,232.5,2,82.72,64,76,59,1,70.6,64,74,0.4,2,73.2,60,70,75.51
11-0043-02,NLF,2004,2013,15.75,20,43.9,42,52,4.57,19,45.51,44,53,3.51,245,41.91,38,47,43.77
11-0053-00,NLF,2004,2013,20.11,19,47.42,42,52,5.07,19,46.52,44,53,3,71,44.15,38,47,46.03
11-0059-00,NLF,2004,2013,13.49,41,41.67,42,52,4.89,41,46.16,44,53,3.92,370,40.3,38,47,42.71
11-0062-00,NLF,2004,2013,11.39,35,39.22,42,52,4,34,44.2,44,53,4.89,155,37.12,38,47,40.18
11-0063-00,NLF,2004,2013,13.5,8,41.68,42,52,5.25,8,46.87,44,53,3.92,8,40.33,38,47,42.96
11-0068-00,NLF,2004,2013,,,,42,52,,,,44,53,4.04,19,39.89,38,47,39.89
11-0069-00,NLF,2004,2013,9.08,12,35.97,42,52,2.92,12,41.1,44,53,5.36,33,35.81,38,47,37.63
11-0073-00,NLF,2004,2013,21,11,48.05,42,52,3.06,9,41.59,44,53,0.8,11,63.28,38,47,50.97
11-0077-00,NLF,2004,2013,21.63,8,48.47,42,52,9.93,8,53.12,44,53,3.06,24,43.9,38,47,48.5
11-0086-00,NLF,2004,2013,11.27,15,39.07,42,52,2.66,15,40.21,44,53,5.1,58,36.54,38,47,38.61
11-0087-00,NLF,2004,2013,18.5,8,46.22,42,52,4,8,44.2,44,53,3.95,8,40.22,38,47,43.55
11-0092-00,NLF,2004,2013,15.1,10,43.3,42,52,2.1,10,37.88,44,53,2.96,98,44.34,38,47,41.84
11-0093-00,NLF,2004,2013,,,,42,52,,,,44,53,2.5,2,46.83,38,47,46.83
11-0101-00,NLF,2004,2013,33.83,9,54.93,42,52,25.17,9,62.24,44,53,1.77,33,51.78,38,47,56.32
11-0102-00,NLF,2004,2013,12.6,10,40.69,42,52,3.8,10,43.7,44,53,4.22,36,39.25,38,47,41.21
11-0043-01,NLF,2004,2013,17.08,12,45.08,42,52,4.42,12,45.18,44,53,3.68,60,41.22,38,47,43.83
11-0104-00,NLF,2004,2013,21.09,11,48.11,42,52,3.92,9,44,44,53,1.07,11,59.07,38,47,50.39
18-0211-00,NLF,2004,2013,7.07,15,32.35,42,52,2.53,15,39.72,44,53,7.53,38,30.91,38,47,34.33
18-0212-00,NLF,2004,2013,23.32,19,49.56,42,52,4.64,20,45.66,44,53,5.33,47,35.9,38,47,43.71
18-0213-00,NLF,2004,2013,15.5,4,43.67,42,52,4.25,4,44.79,44,53,3.83,33,40.66,38,47,43.04
18-0218-00,NLF,2004,2013,10.25,4,37.71,42,52,3.32,4,42.36,44,53,3.68,4,41.24,38,47,40.44
18-0220-00,NLF,2004,2013,19,11,46.61,42,52,5.19,11,46.75,44,53,2,30,49.98,38,47,47.78
18-0222-00,NLF,2004,2013,10.38,4,37.88,42,52,3.91,4,43.98,44,53,3.47,31,42.08,38,47,41.31
18-0224-00,NLF,2004,2013,23.7,10,49.8,42,52,11.2,10,54.3,44,53,1.92,21,50.61,38,47,51.57
18-0225-00,NLF,2004,2013,16.2,10,44.31,42,52,6.7,10,49.26,44,53,3.83,10,40.63,38,47,44.73
18-0226-00,NLF,2004,2013,18.18,22,45.97,42,52,3.09,22,41.68,44,53,4.7,72,37.69,38,47,41.78
18-0227-02,NLF,2004,2013,11.22,27,39.02,42,52,1.95,27,37.16,44,53,5.63,138,35.09,38,47,37.09
18-0231-00,NLF,2004,2013,16.7,20,44.75,42,52,4.18,20,44.64,44,53,4.35,112,38.82,38,47,42.74
18-0239-00,NLF,2004,2013,17.2,10,45.17,42,52,3.2,10,42.01,44,53,4.38,59,38.72,38,47,41.97
